Gene	UHR_1	UHR_2	brain_1	brain_2
APOM	151	168	4	6
APOO	59	61	59	62
APOOL	117	92	75	60
APP	3956	4122	8465	9223
APPBP2	350	361	272	274
APPL1	189	201	178	199
APPL2	203	243	131	152
APRT	970	1039	129	155
APTX	146	188	79	92
AQP1	71	75	1373	1547
AQP10	33	20	2	1
AQP11	24	32	40	45
AQP12B	1	1	2	1
AQP3	457	454	41	29
AQP4	3	2	1433	1606
AQP5	7	4	14	6
AQP6	3	4	8	8
AQP7	4	4	7	11
AQP7P1	1	3	3	1
AQP8	2	3	3	2
AQP9	1	2	6	10
AQPEP	1	5	3	2
AQR	213	226	76	72
AR	24	24	7	8
ARAF	596	596	165	153
ARAP1	850	855	412	497
ARAP2	21	31	154	175
ARAP3	217	217	112	113
ARC	34	43	220	236
ARCN1	935	1041	419	446
AREG	2	2	1	1
ARF1	4012	4178	2685	2937
ARF3	1392	1585	2823	3234
ARF4	433	504	122	185
ARF5	758	739	745	764
ARF6	861	824	190	239
ARFGAP1	1521	1599	822	935
ARFGAP2	610	617	613	772
ARFGAP3	212	226	101	107
ARFGEF1	226	282	139	131
ARFGEF2	526	576	309	388
ARFIP1	88	90	52	41
ARFIP2	328	361	270	353
ARFRP1	414	414	289	354
ARG1	8	6	2	3
ARG2	150	154	86	90
ARGFXP2	3	4	3	3
ARGLU1	566	554	420	469
ARHGAP1	622	654	476	550
ARHGAP10	59	64	23	30
ARHGAP11A	269	304	10	8
ARHGAP11B	7	11	1	1
ARHGAP12	118	129	86	124
ARHGAP15	33	30	3	3
ARHGAP17	475	458	130	144
ARHGAP18	128	160	6	12
ARHGAP19	249	255	54	55
ARHGAP20	12	15	83	101
ARHGAP21	208	221	759	816
ARHGAP22	117	122	141	141
ARHGAP23	371	312	1808	1828
ARHGAP24	39	27	74	84
ARHGAP25	26	32	19	14
ARHGAP26	127	132	609	713
ARHGAP27	201	205	113	153
ARHGAP28	13	24	4	10
ARHGAP29	217	196	151	176
ARHGAP30	108	141	36	47
ARHGAP31	92	96	153	166
ARHGAP32	236	242	674	762
ARHGAP33	373	339	625	722
ARHGAP36	2	3	10	8
ARHGAP39	214	182	432	515
ARHGAP4	615	582	151	180
ARHGAP40	4	4	2	1
ARHGAP42	16	19	7	16
ARHGAP5	218	205	290	340
ARHGAP6	77	68	20	35
ARHGAP8	1	3	1	1
ARHGAP9	30	31	67	64
ARHGDIA	3342	3563	1807	1979
ARHGDIB	735	772	79	78
ARHGDIG	39	25	913	970
ARHGEF1	724	798	236	279
ARHGEF10	352	354	258	246
ARHGEF10L	329	330	916	1073
ARHGEF11	494	508	837	934
ARHGEF12	601	693	855	1028
ARHGEF15	2	2	31	29
ARHGEF16	149	132	25	17
ARHGEF17	441	482	1204	1361
ARHGEF18	520	529	500	533
ARHGEF19	95	111	5	10
ARHGEF2	963	946	1029	1076
ARHGEF3	82	93	336	347
ARHGEF33	1	1	57	62
ARHGEF35	2	3	1	1
ARHGEF37	47	49	287	272
ARHGEF4	130	121	1372	1528
ARHGEF5	16	32	5	4
ARHGEF6	95	103	103	109
ARHGEF7	496	569	952	1076
ARHGEF9	148	167	950	1065
ARID1A	1718	1679	781	836
ARID1B	688	695	654	709
ARID2	271	304	113	101
ARID3A	451	462	22	32
ARID3B	171	173	14	20
ARID3C	5	5	5	9
ARID4A	65	77	87	79
ARID4B	167	183	185	191
ARID5A	257	243	170	190
ARID5B	208	239	171	205
ARIH1	535	601	381	404
ARIH2	696	686	456	433
ARL1	280	285	251	282
ARL10	15	13	45	47
ARL11	6	4	4	2
ARL13A	1	3	1	1
ARL13B	45	34	22	25
ARL14	2	2	1	1
ARL15	37	47	29	23
ARL16	112	113	77	78
ARL17A	6	9	3	2
ARL2	765	718	621	694
ARL2BP	303	326	246	322
ARL3	127	145	363	396
ARL4A	72	46	21	23
ARL4C	585	596	465	563
ARL4D	113	134	88	89
ARL5A	116	132	51	70
ARL5B	91	97	38	49
ARL6	9	15	20	23
ARL6IP1	970	1106	1213	1237
ARL6IP4	911	996	745	789
ARL6IP5	333	362	524	586
ARL6IP6	177	184	60	65
ARL8A	224	259	819	919
ARL8B	279	263	438	500
ARL9	2	5	5	9
ARMC1	133	144	108	122
ARMC10	90	103	50	52
ARMC2	11	20	14	12
ARMC3	1	2	2	7
ARMC4	17	17	2	4
ARMC5	268	248	210	223
ARMC6	552	545	246	239
ARMC7	114	114	130	106
